,utter_1,utter_2,label,chapter_tag
898,"""What is it you mean?""","""It is a circumsance which Darcy could not wish to be generally known,       because if it were to get round to the lady's family, it would be an       unpleasant thing.""",B-OTHER,Chapter 33
899,"""It is a circumsance which Darcy could not wish to be generally known,       because if it were to get round to the lady's family, it would be an       unpleasant thing.""","""You may depend upon my not mentioning it.""",B-OTHER,Chapter 33
900,"""You may depend upon my not mentioning it.""","""And remember that I have not much reason for supposing it to be Bingley.       What he told me was merely this: that he congratulated himslf on having       lately saved a friend from the inconveniences of a most imprudent       marriage, but without mentioning names or any other particulars, and I       only suspected it to be Bingley from believing him the kind of young man       to get into a scrape of that sort, and from knowing them to have been       together the whole of last summer.""",B-OTHER,Chapter 33
901,"""And remember that I have not much reason for supposing it to be Bingley.       What he told me was merely this: that he congratulated himslf on having       lately saved a friend from the inconveniences of a most imprudent       marriage, but without mentioning names or any other particulars, and I       only suspected it to be Bingley from believing him the kind of young man       to get into a scrape of that sort, and from knowing them to have been       together the whole of last summer.""","""Did Mr Darcy give you reasons for this interference?""",B-OTHER,Chapter 33
902,"""Did Mr Darcy give you reasons for this interference?""","""I understood that there were some very strong objections against the       lady.""",B-OTHER,Chapter 33
903,"""I understood that there were some very strong objections against the       lady.""","""And what arts did he use to separate them?""",B-OTHER,Chapter 33
904,"""And what arts did he use to separate them?""","""He did not talk to me of his own arts,""",B-OTHER,Chapter 33
905,"""He did not talk to me of his own arts,""","""He       only told me what I have now told you.""",B-OTHER,Chapter 33
906,"""He       only told me what I have now told you.""","""I am thinking of what you have been telling me,""",I-OTHER,Chapter 33
907,"""I am thinking of what you have been telling me,""","""Your cousin's       conduct does not suit my feelings. Why was he to be the judge?""",B-OTHER,Chapter 33
908,"""Your cousin's       conduct does not suit my feelings. Why was he to be the judge?""","""You are rather disposed to call his interference officious?""",I-OTHER,Chapter 33
909,"""You are rather disposed to call his interference officious?""","""I do not see what right Mr Darcy had to decide on the propriety of his       friend's inclination, or why, upon his own judgement alone, he was to       determine and direct in what manner his friend was to be happy. But,""",B-OTHER,Chapter 33
910,"""I do not see what right Mr Darcy had to decide on the propriety of his       friend's inclination, or why, upon his own judgement alone, he was to       determine and direct in what manner his friend was to be happy. But,""","""as we know none of the particulars, it       is not fair to condemn him. It is not to be supposed that there was much       affection in the case.""",B-OTHER,Chapter 33
911,"""as we know none of the particulars, it       is not fair to condemn him. It is not to be supposed that there was much       affection in the case.""","""That is not an unnatural surmise,""",I-OTHER,Chapter 33
912,"""That is not an unnatural surmise,""","""but it is a       lessening of the honour of my cousin's triumph very sadly.""",B-OTHER,Chapter 33
913,"""but it is a       lessening of the honour of my cousin's triumph very sadly.""","""There were some very strong objections against the lady,""",I-OTHER,Chapter 33
914,"""There were some very strong objections against the lady,""","""To Jane herself,""",B-OTHER,Chapter 33
915,"""To Jane herself,""","""there could be no possibility of       objection; all loveliness and goodness as she is!—her understanding       excellent, her mind improved, and her manners captivating. Neither could       anything be urged against my father, who, though with some peculiarities,       has abilities Mr Darcy himslf need not disdain, and respectability which       he will probably never reach.""",B-OTHER,Chapter 33
916,"""In vain I have struggled. It will not do. My feelings will not be       repressed. You must allow me to tell you how ardently I admire and love       you.""","""In such cases as this, it is, I believe, the established mode to express       a sense of obligation for the sentiments avowed, however unequally they       may be returned. It is natural that obligation should be felt, and if I       could feel gratitude, I would now thank you. But I cannot—I       have never desired your good opinion, and you have certainly bestowed it       most unwillingly. I am sorry to have occasioned pain to anyone. It has       been most unconsciously done, however, and I hope will be of short       duration. The feelings which, you tell me, have long prevented the       acknowledgment of your regard, can have little difficulty in overcoming it       after this explanation.""",B-START,Chapter 34
917,"""In such cases as this, it is, I believe, the established mode to express       a sense of obligation for the sentiments avowed, however unequally they       may be returned. It is natural that obligation should be felt, and if I       could feel gratitude, I would now thank you. But I cannot—I       have never desired your good opinion, and you have certainly bestowed it       most unwillingly. I am sorry to have occasioned pain to anyone. It has       been most unconsciously done, however, and I hope will be of short       duration. The feelings which, you tell me, have long prevented the       acknowledgment of your regard, can have little difficulty in overcoming it       after this explanation.""","""And this is all the reply which I am to have the honour of expecting! I       might, perhaps, wish to be informed why, with so little endeavour       at civility, I am thus rejected. But it is of small importance.""",B-OTHER,Chapter 34
918,"""And this is all the reply which I am to have the honour of expecting! I       might, perhaps, wish to be informed why, with so little endeavour       at civility, I am thus rejected. But it is of small importance.""","""I might as well inquire,""",B-OTHER,Chapter 34
919,"""I might as well inquire,""","""why with so evident a desire of       offending and insulting me, you chose to tell me that you liked me against       your will, against your reason, and even against your character? Was not       this some excuse for incivility, if I was uncivil? But I have other       provocations. You know I have. Had not my feelings decided against you—had       they been indifferent, or had they even been favourable, do you think that       any consideration would tempt me to accept the man who has been the means       of ruining, perhaps for ever, the happiness of a most beloved sister?""",B-OTHER,Chapter 34
920,"""why with so evident a desire of       offending and insulting me, you chose to tell me that you liked me against       your will, against your reason, and even against your character? Was not       this some excuse for incivility, if I was uncivil? But I have other       provocations. You know I have. Had not my feelings decided against you—had       they been indifferent, or had they even been favourable, do you think that       any consideration would tempt me to accept the man who has been the means       of ruining, perhaps for ever, the happiness of a most beloved sister?""","""I have every reason in the world to think ill of you. No motive can       excuse the unjust and ungenerous part you acted there. You dare       not, you cannot deny, that you have been the principal, if not the only       means of dividing them from each other—of exposing one to the       censure of the world for caprice and instability, and the other to its       derision for disappointed hopes, and involving them both in misery of the       acutest kind.""",I-OTHER,Chapter 34
921,"""I have every reason in the world to think ill of you. No motive can       excuse the unjust and ungenerous part you acted there. You dare       not, you cannot deny, that you have been the principal, if not the only       means of dividing them from each other—of exposing one to the       censure of the world for caprice and instability, and the other to its       derision for disappointed hopes, and involving them both in misery of the       acutest kind.""","""Can you deny that you have done it?""",B-OTHER,Chapter 34
922,"""Can you deny that you have done it?""","""I have no wish of denying that       I did everything in my power to separate my friend from your sister, or       that I rejoice in my success. Towards him I have been kinder than       towards myself.""",B-OTHER,Chapter 34
923,"""I have no wish of denying that       I did everything in my power to separate my friend from your sister, or       that I rejoice in my success. Towards him I have been kinder than       towards myself.""","""But it is not merely this affair,""",I-OTHER,Chapter 34
924,"""But it is not merely this affair,""","""on which my dislike is       founded. Long before it had taken place my opinion of you was decided.       Your character was unfolded in the recital which I received many months       ago from Mr Wickham. On this subject, what can you have to say? In what       imaginary act of friendship can you here defend yourself? or under what       misrepresentation can you here impose upon others?""",B-OTHER,Chapter 34
925,"""on which my dislike is       founded. Long before it had taken place my opinion of you was decided.       Your character was unfolded in the recital which I received many months       ago from Mr Wickham. On this subject, what can you have to say? In what       imaginary act of friendship can you here defend yourself? or under what       misrepresentation can you here impose upon others?""","""You take an eager interest in that gentleman's concerns,""",I-OTHER,Chapter 34
926,"""You take an eager interest in that gentleman's concerns,""","""Who that knows what his misfortunes have been, can help feeling an       interest in him?""",B-OTHER,Chapter 34
927,"""Who that knows what his misfortunes have been, can help feeling an       interest in him?""","""His misfortunes!""",B-OTHER,Chapter 34
928,"""His misfortunes!""","""yes, his misfortunes       have been great indeed.""",B-OTHER,Chapter 34
929,"""yes, his misfortunes       have been great indeed.""","""And of your infliction,""",I-OTHER,Chapter 34
930,"""And of your infliction,""","""You have reduced       him to his present state of poverty—comparative poverty. You have       withheld the advantages which you must know to have been designed for him.       You have deprived the best years of his life of that independence which       was no less his due than his desert. You have done all this! and yet you       can treat the mention of his misfortune with contempt and ridicule.""",B-OTHER,Chapter 34
931,"""You have reduced       him to his present state of poverty—comparative poverty. You have       withheld the advantages which you must know to have been designed for him.       You have deprived the best years of his life of that independence which       was no less his due than his desert. You have done all this! and yet you       can treat the mention of his misfortune with contempt and ridicule.""","""And this,""",I-OTHER,Chapter 34
932,"""And this,""","""is your opinion of me! This is the estimation in which you hold me! I       thank you for explaining it so fully. My faults, according to this       calculation, are heavy indeed! But perhaps,""",B-OTHER,Chapter 34
933,"""is your opinion of me! This is the estimation in which you hold me! I       thank you for explaining it so fully. My faults, according to this       calculation, are heavy indeed! But perhaps,""","""these offenses might have been overlooked,       had not your pride been hurt by my honest confession of the scruples that       had long prevented my forming any serious design. These bitter accusations       might have been suppressed, had I, with greater policy, concealed my       struggles, and flattered you into the belief of my being impelled by       unqualified, unalloyed inclination; by reason, by reflection, by       everything. But disguise of every sort is my abhorrence. Nor am I ashamed       of the feelings I related. They were natural and just. Could you expect me       to rejoice in the inferiority of your connections?—to congratulate       myself on the hope of relations, whose condition in life is so decidedly       beneath my own?""",I-OTHER,Chapter 34
934,"""these offenses might have been overlooked,       had not your pride been hurt by my honest confession of the scruples that       had long prevented my forming any serious design. These bitter accusations       might have been suppressed, had I, with greater policy, concealed my       struggles, and flattered you into the belief of my being impelled by       unqualified, unalloyed inclination; by reason, by reflection, by       everything. But disguise of every sort is my abhorrence. Nor am I ashamed       of the feelings I related. They were natural and just. Could you expect me       to rejoice in the inferiority of your connections?—to congratulate       myself on the hope of relations, whose condition in life is so decidedly       beneath my own?""","""You are mistaken, Mr Darcy, if you suppose that the mode of your       declaration affected me in any other way, than as it spared me the concern       which I might have felt in refusing you, had you behaved in a more       gentlemanlike manner.""",I-OTHER,Chapter 34
935,"""You are mistaken, Mr Darcy, if you suppose that the mode of your       declaration affected me in any other way, than as it spared me the concern       which I might have felt in refusing you, had you behaved in a more       gentlemanlike manner.""","""You could not have made the offer of your hand in any possible way that       would have tempted me to accept it.""",B-OTHER,Chapter 34
936,"""You could not have made the offer of your hand in any possible way that       would have tempted me to accept it.""","""From the very beginning—from the first moment, I may almost say—of       my acquaintance with you, your manners, impressing me with the fullest       belief of your arrogance, your conceit, and your selfish disdain of the       feelings of others, were such as to form the groundwork of disapprobation       on which succeeding events have built so immovable a dislike; and I had       not known you a month before I felt that you were the last man in the       world whom I could ever be prevailed on to marry.""",B-OTHER,Chapter 34
937,"""From the very beginning—from the first moment, I may almost say—of       my acquaintance with you, your manners, impressing me with the fullest       belief of your arrogance, your conceit, and your selfish disdain of the       feelings of others, were such as to form the groundwork of disapprobation       on which succeeding events have built so immovable a dislike; and I had       not known you a month before I felt that you were the last man in the       world whom I could ever be prevailed on to marry.""","""You have said quite enough, madam. I perfectly comprehend your feelings,       and have now only to be ashamed of what my own have been. Forgive me for       having taken up so much of your time, and accept my best wishes for your       health and happiness.""",B-OTHER,Chapter 34
938,"""You have said quite enough, madam. I perfectly comprehend your feelings,       and have now only to be ashamed of what my own have been. Forgive me for       having taken up so much of your time, and accept my best wishes for your       health and happiness.""","""I have been walking in the grove       some time in the hope of meeting you. Will you do me the honour of reading       that letter?""",B-OTHER,Chapter 34
939,"""FITZWILLIAM DARCY""","""This must be false! This       cannot be! This must be the grossest falsehood!""",B-START,Chapter 35
940,"""How despicably I have acted!""","""I, who have prided myself on my       discernment! I, who have valued myself on my abilities! who have often       disdained the generous candour of my sister, and gratified my vanity in       useless or blameable mistrust! How humiliating is this discovery! Yet, how       just a humiliation! Had I been in love, I could not have been more       wretchedly blind! But vanity, not love, has been my folly. Pleased with       the preference of one, and offended by the neglect of the other, on the       very beginning of our acquaintance, I have courted prepossession and       ignorance, and driven reason away, where either were concerned. Till this       moment I never knew myself.""",B-START,Chapter 36
941,"""I, who have prided myself on my       discernment! I, who have valued myself on my abilities! who have often       disdained the generous candour of my sister, and gratified my vanity in       useless or blameable mistrust! How humiliating is this discovery! Yet, how       just a humiliation! Had I been in love, I could not have been more       wretchedly blind! But vanity, not love, has been my folly. Pleased with       the preference of one, and offended by the neglect of the other, on the       very beginning of our acquaintance, I have courted prepossession and       ignorance, and driven reason away, where either were concerned. Till this       moment I never knew myself.""","""What would she have said? how would she have       behaved?""",I-START,Chapter 36
942,"""What would she have said? how would she have       behaved?""","""I assure       you, I feel it exceedingly,""",I-OTHER,Chapter 37
943,"""I assure       you, I feel it exceedingly,""","""I believe no one feels       the loss of friends so much as I do. But I am particularly attached to       these young men, and know them to be so much attached to me! They were       excessively sorry to go! But so they always are. The dear Colonel rallied       his spirits tolerably till just at last; but Darcy seemed to feel it most       acutely, more, I think, than last year. His attachment to Rosings       certainly increases.""",I-OTHER,Chapter 37
944,"""But if that is the case, you must write to your mother and beg that you       may stay a little longer. Mrs Collins will be very glad of your company,       I am sure.""","""I am much obliged to your ladyship for your kind invitation,""",B-START,Chapter 37
945,"""I am much obliged to your ladyship for your kind invitation,""","""but it is not in my power to accept it. I must be in town next       Saturday.""",B-OTHER,Chapter 37
946,"""but it is not in my power to accept it. I must be in town next       Saturday.""","""Why, at that rate, you will have been here only six weeks. I expected you       to stay two months. I told Mrs Collins so before you came. There can be       no occasion for your going so soon. Mrs Bennet could certainly spare you       for another fortnight.""",I-OTHER,Chapter 37
947,"""Why, at that rate, you will have been here only six weeks. I expected you       to stay two months. I told Mrs Collins so before you came. There can be       no occasion for your going so soon. Mrs Bennet could certainly spare you       for another fortnight.""","""But my father cannot. He wrote last week to hurry my return.""",B-OTHER,Chapter 37
948,"""But my father cannot. He wrote last week to hurry my return.""","""Oh! your father of course may spare you, if your mother can. Daughters       are never of so much consequence to a father. And if you will stay another       month complete, it will be in my power to take one of you as far as       London, for I am going there early in June, for a week; and as Dawson does       not object to the barouche-box, there will be very good room for one of       you—and indeed, if the weather should happen to be cool, I should       not object to taking you both, as you are neither of you large.""",B-OTHER,Chapter 37
949,"""Oh! your father of course may spare you, if your mother can. Daughters       are never of so much consequence to a father. And if you will stay another       month complete, it will be in my power to take one of you as far as       London, for I am going there early in June, for a week; and as Dawson does       not object to the barouche-box, there will be very good room for one of       you—and indeed, if the weather should happen to be cool, I should       not object to taking you both, as you are neither of you large.""","""You are all kindness, madam; but I believe we must abide by our original       plan.""",B-OTHER,Chapter 37
950,"""You are all kindness, madam; but I believe we must abide by our original       plan.""","""Mrs Collins, you must send a servant       with them. You know I always speak my mind, and I cannot bear the idea of       two young women travelling post by themslves. It is highly improper. You       must contrive to send somebody. I have the greatest dislike in the world       to that sort of thing. Young women should always be properly guarded and       attended, according to their situation in life. When my niece Georgiana       went to Ramsate last summer, I made a point of her having two       men-servants go with her. MissDarcy, the daughter of Mr Darcy, of       Pemberley, and Lady Anne, could not have appeared with propriety in a       different manner. I am excessively attentive to all those things. You must       send John with the young ladies, Mrs Collins. I am glad it occurred to me       to mention it; for it would really be discreditable to you to let       them go alone.""",B-OTHER,Chapter 37
951,"""Mrs Collins, you must send a servant       with them. You know I always speak my mind, and I cannot bear the idea of       two young women travelling post by themslves. It is highly improper. You       must contrive to send somebody. I have the greatest dislike in the world       to that sort of thing. Young women should always be properly guarded and       attended, according to their situation in life. When my niece Georgiana       went to Ramsate last summer, I made a point of her having two       men-servants go with her. MissDarcy, the daughter of Mr Darcy, of       Pemberley, and Lady Anne, could not have appeared with propriety in a       different manner. I am excessively attentive to all those things. You must       send John with the young ladies, Mrs Collins. I am glad it occurred to me       to mention it; for it would really be discreditable to you to let       them go alone.""","""My uncle is to send a servant for us.""",I-OTHER,Chapter 37
952,"""My uncle is to send a servant for us.""","""Oh! Your uncle! He keeps a man-servant, does he? I am very glad you have       somebody who thinks of these things. Where shall you change horses? Oh!       Bromley, of course. If you mention my name at the Bell, you will be       attended to.""",B-OTHER,Chapter 37
953,"""I know not, MissElizabeth,""","""whether Mrs Collins has yet       expressed her sense of your kindness in coming to us; but I am very       certain you will not leave the house without receiving her thanks for it.       The favour of your company has been much felt, I assure you. We know how       little there is to tempt anyone to our humble abode. Our plain manner of       living, our small roomsand few domestics, and the little we see of the       world, must make Hunsford extremely dull to a young lady like yourself;       but I hope you will believe us grateful for the condescension, and that we       have done everything in our power to prevent your spending your time       unpleasantly.""",B-START,Chapter 38
954,"""whether Mrs Collins has yet       expressed her sense of your kindness in coming to us; but I am very       certain you will not leave the house without receiving her thanks for it.       The favour of your company has been much felt, I assure you. We know how       little there is to tempt anyone to our humble abode. Our plain manner of       living, our small roomsand few domestics, and the little we see of the       world, must make Hunsford extremely dull to a young lady like yourself;       but I hope you will believe us grateful for the condescension, and that we       have done everything in our power to prevent your spending your time       unpleasantly.""","""It gives me great pleasure to hear that you have passed your time not       disagreeably. We have certainly done our best; and most fortunately having       it in our power to introduce you to very superior society, and, from our       connection with Rosings, the frequent means of varying the humble home       scene, I think we may flatter ourselves that your Hunsford visit cannot       have been entirely irksome. Our situation with regard to Lady Catherine's       family is indeed the sort of extraordinary advantage and blessing which       few can boast. You see on what a footing we are. You see how continually       we are engaged there. In truth I must acknowledge that, with all the       disadvantages of this humble parsonage, I should not think anyone abiding       in it an object of compassion, while they are sharers of our intimacy at       Rosings.""",I-START,Chapter 38
955,"""It gives me great pleasure to hear that you have passed your time not       disagreeably. We have certainly done our best; and most fortunately having       it in our power to introduce you to very superior society, and, from our       connection with Rosings, the frequent means of varying the humble home       scene, I think we may flatter ourselves that your Hunsford visit cannot       have been entirely irksome. Our situation with regard to Lady Catherine's       family is indeed the sort of extraordinary advantage and blessing which       few can boast. You see on what a footing we are. You see how continually       we are engaged there. In truth I must acknowledge that, with all the       disadvantages of this humble parsonage, I should not think anyone abiding       in it an object of compassion, while they are sharers of our intimacy at       Rosings.""","""You may, in fact, carry a very favourable report of us into       Hertfordshire, my dear cousin. I flatter myself at least that you will be       able to do so. Lady Catherine's great attentions to Mrs Collins you have       been a daily witness of; and altogether I trust it does not appear that       your friend has drawn an unfortunate—but on this point it will be as       well to be silent. Only let me assure you, my dear MissElizabeth, that I       can from my heart most cordially wish you equal felicity in marriage. My       dear Charlotte and I have but one mind and one way of thinking. There is       in everything a most remarkable resemblance of character and ideas between       us. We seem to have been designed for each other.""",B-OTHER,Chapter 38
956,"""You may, in fact, carry a very favourable report of us into       Hertfordshire, my dear cousin. I flatter myself at least that you will be       able to do so. Lady Catherine's great attentions to Mrs Collins you have       been a daily witness of; and altogether I trust it does not appear that       your friend has drawn an unfortunate—but on this point it will be as       well to be silent. Only let me assure you, my dear MissElizabeth, that I       can from my heart most cordially wish you equal felicity in marriage. My       dear Charlotte and I have but one mind and one way of thinking. There is       in everything a most remarkable resemblance of character and ideas between       us. We seem to have been designed for each other.""","""But,""",B-OTHER,Chapter 38
957,"""But,""","""you will of course wish to have your humble respects       delivered to them, with your grateful thanks for their kindness to you       while you have been here.""",B-OTHER,Chapter 38
958,"""you will of course wish to have your humble respects       delivered to them, with your grateful thanks for their kindness to you       while you have been here.""","""Good gracious!""",I-OTHER,Chapter 38
959,"""Good gracious!""","""it seemsbut       a day or two since we first came! and yet how many things have happened!""",B-OTHER,Chapter 38
960,"""it seemsbut       a day or two since we first came! and yet how many things have happened!""","""A great many indeed,""",I-OTHER,Chapter 38
961,"""A great many indeed,""","""We have dined nine times at Rosings, besides drinking tea there twice!       How much I shall have to tell!""",B-OTHER,Chapter 38
962,"""We have dined nine times at Rosings, besides drinking tea there twice!       How much I shall have to tell!""","""And how much I shall have to conceal!""",B-OTHER,Chapter 38
963,"""And how much I shall have to conceal!""","""Is not       this nice? Is not this an agreeable surprise?""",I-OTHER,Chapter 38
964,"""And we mean to treat you all,""","""but you must lend us the       money, for we have just spent ours at the shop out there.""",B-START,Chapter 39
965,"""but you must lend us the       money, for we have just spent ours at the shop out there.""","""Look here, I have bought this bonnet. I do not think       it is very pretty; but I thought I might as well buy it as not. I shall       pull it to pieces as soon as I get home, and see if I can make it up any       better.""",I-START,Chapter 39
966,"""Look here, I have bought this bonnet. I do not think       it is very pretty; but I thought I might as well buy it as not. I shall       pull it to pieces as soon as I get home, and see if I can make it up any       better.""","""Oh! but there were two or three much uglier in the shop; and when I have       bought some prettier-coloured satin to trim it with fresh, I think it will       be very tolerable. Besides, it will not much signify what one wears this       summer, after the ——shire have left Meryton, and they are       going in a fortnight.""",I-OTHER,Chapter 39
967,"""Oh! but there were two or three much uglier in the shop; and when I have       bought some prettier-coloured satin to trim it with fresh, I think it will       be very tolerable. Besides, it will not much signify what one wears this       summer, after the ——shire have left Meryton, and they are       going in a fortnight.""","""Are they indeed!""",I-OTHER,Chapter 39
968,"""Are they indeed!""","""They are going to be encamped near Brighton; and I do so want papa to       take us all there for the summer! It would be such a delicious scheme; and       I dare say would hardly cost anything at all. Mamma would like to go too       of all things! Only think what a miserable summer else we shall have!""",B-OTHER,Chapter 39
969,"""They are going to be encamped near Brighton; and I do so want papa to       take us all there for the summer! It would be such a delicious scheme; and       I dare say would hardly cost anything at all. Mamma would like to go too       of all things! Only think what a miserable summer else we shall have!""","""Yes,""",B-OTHER,Chapter 39
970,"""Yes,""","""that would be a delightful scheme       indeed, and completely do for us at once. Good Heaven! Brighton, and a       whole campful of soldiers, to us, who have been overset already by one       poor regiment of militia, and the monthly balls of Meryton!""",B-OTHER,Chapter 39
971,"""that would be a delightful scheme       indeed, and completely do for us at once. Good Heaven! Brighton, and a       whole campful of soldiers, to us, who have been overset already by one       poor regiment of militia, and the monthly balls of Meryton!""","""Now I have got some news for you,""",I-OTHER,Chapter 39
972,"""Now I have got some news for you,""","""What do you think? It is excellent news—capital news—and       about a certain person we all like!""",B-OTHER,Chapter 39
973,"""What do you think? It is excellent news—capital news—and       about a certain person we all like!""","""Aye, that is just like your formality and discretion. You thought the       waiter must not hear, as if he cared! I dare say he often hears worse       things said than I am going to say. But he is an ugly fellow! I am glad he       is gone. I never saw such a long chin in my life. Well, but now for my       news; it is about dear Wickham; too good for the waiter, is it not? There       is no danger of Wickham's marrying Mary King. There's for you! She is gone       down to her uncle at Liverpool: gone to stay. Wickham is safe.""",I-OTHER,Chapter 39
974,"""Aye, that is just like your formality and discretion. You thought the       waiter must not hear, as if he cared! I dare say he often hears worse       things said than I am going to say. But he is an ugly fellow! I am glad he       is gone. I never saw such a long chin in my life. Well, but now for my       news; it is about dear Wickham; too good for the waiter, is it not? There       is no danger of Wickham's marrying Mary King. There's for you! She is gone       down to her uncle at Liverpool: gone to stay. Wickham is safe.""","""And Mary King is safe!""",B-OTHER,Chapter 39
975,"""And Mary King is safe!""","""safe from a connection       imprudent as to fortune.""",B-OTHER,Chapter 39
976,"""safe from a connection       imprudent as to fortune.""","""She is a great fool for going away, if she liked him.""",I-OTHER,Chapter 39
977,"""She is a great fool for going away, if she liked him.""","""But I hope there is no strong attachment on either side,""",B-OTHER,Chapter 39
978,"""But I hope there is no strong attachment on either side,""","""I am sure there is not on his. I will answer for it, he never       cared three straws about her—who could about such a nasty little       freckled thing?""",B-OTHER,Chapter 39
979,"""I am sure there is not on his. I will answer for it, he never       cared three straws about her—who could about such a nasty little       freckled thing?""","""How nicely we are all crammed in,""",B-OTHER,Chapter 39
980,"""How nicely we are all crammed in,""","""I am glad I bought my       bonnet, if it is only for the fun of having another bandbox! Well, now let       us be quite comfortable and snug, and talk and laugh all the way home. And       in the first place, let us hear what has happened to you all since you       went away. Have you seen any pleasant men? Have you had any flirting? I       was in great hopes that one of you would have got a husband before you       came back. Jane will be quite an old maid soon, I declare. She is almost       three-and-twenty! Lord, how ashamed I should be of not being married       before three-and-twenty! My aunt Phillips wants you so to get husbands,       you can't think. She says Lizzy had better have taken Mr Collins; but I       do not think there would have been any fun in it. Lord! how I should like       to be married before any of you; and then I would chaperon you about to       all the balls. Dear me! we had such a good piece of fun the other day at       Colonel Forster's. Kitty and me were to spend the day there, and Mrs       Forster promised to have a little dance in the evening; (by the bye, Mrs       Forster and me are such friends!) and so she asked the two       Harringtons to come, but Harriet was ill, and so Pen was forced to come by       herself; and then, what do you think we did? We dressed up Chamberlayne in       woman's clothes on purpose to pass for a lady, only think what fun! Not a       soul knew of it, but Colonel and Mrs Forster, and Kitty and me, except my       aunt, for we were forced to borrow one of her gowns; and you cannot       imagine how well he looked! When Denny, and Wickham, and Pratt, and two or       three more of the men came in, they did not know him in the least. Lord!       how I laughed! and so did Mrs Forster. I thought I should have died. And       that made the men suspect something, and then they soon found out       what was the matter.""",B-OTHER,Chapter 39
981,"""I am glad I bought my       bonnet, if it is only for the fun of having another bandbox! Well, now let       us be quite comfortable and snug, and talk and laugh all the way home. And       in the first place, let us hear what has happened to you all since you       went away. Have you seen any pleasant men? Have you had any flirting? I       was in great hopes that one of you would have got a husband before you       came back. Jane will be quite an old maid soon, I declare. She is almost       three-and-twenty! Lord, how ashamed I should be of not being married       before three-and-twenty! My aunt Phillips wants you so to get husbands,       you can't think. She says Lizzy had better have taken Mr Collins; but I       do not think there would have been any fun in it. Lord! how I should like       to be married before any of you; and then I would chaperon you about to       all the balls. Dear me! we had such a good piece of fun the other day at       Colonel Forster's. Kitty and me were to spend the day there, and Mrs       Forster promised to have a little dance in the evening; (by the bye, Mrs       Forster and me are such friends!) and so she asked the two       Harringtons to come, but Harriet was ill, and so Pen was forced to come by       herself; and then, what do you think we did? We dressed up Chamberlayne in       woman's clothes on purpose to pass for a lady, only think what fun! Not a       soul knew of it, but Colonel and Mrs Forster, and Kitty and me, except my       aunt, for we were forced to borrow one of her gowns; and you cannot       imagine how well he looked! When Denny, and Wickham, and Pratt, and two or       three more of the men came in, they did not know him in the least. Lord!       how I laughed! and so did Mrs Forster. I thought I should have died. And       that made the men suspect something, and then they soon found out       what was the matter.""","""I am glad you are come back, Lizzy.""",I-OTHER,Chapter 39
982,"""I am glad you are come back, Lizzy.""","""Oh! Mary,""",B-OTHER,Chapter 39
983,"""Oh! Mary,""","""I wish you had gone with us, for we had such fun!       As we went along, Kitty and I drew up the blinds, and pretended there was       nobody in the coach; and I should have gone so all the way, if Kitty had       not been sick; and when we got to the George, I do think we behaved very       handsomely, for we treated the other three with the nicest cold luncheon       in the world, and if you would have gone, we would have treated you too.       And then when we came away it was such fun! I thought we never should have       got into the coach. I was ready to die of laughter. And then we were so       merry all the way home! we talked and laughed so loud, that anybody might       have heard us ten miles off!""",B-OTHER,Chapter 39
984,"""I wish you had gone with us, for we had such fun!       As we went along, Kitty and I drew up the blinds, and pretended there was       nobody in the coach; and I should have gone so all the way, if Kitty had       not been sick; and when we got to the George, I do think we behaved very       handsomely, for we treated the other three with the nicest cold luncheon       in the world, and if you would have gone, we would have treated you too.       And then when we came away it was such fun! I thought we never should have       got into the coach. I was ready to die of laughter. And then we were so       merry all the way home! we talked and laughed so loud, that anybody might       have heard us ten miles off!""","""Far be it from me, my dear sister, to       depreciate such pleasures! They would doubtless be congenial with the       generality of female minds. But I confess they would have no charmsfor me—I       should infinitely prefer a book.""",I-OTHER,Chapter 39
985,"""His being so sure of succeeding was wrong,""","""and certainly       ought not to have appeared; but consider how much it must increase his       disappointment!""",B-START,Chapter 40
986,"""and certainly       ought not to have appeared; but consider how much it must increase his       disappointment!""","""Indeed,""",I-START,Chapter 40
987,"""Indeed,""","""I am heartily sorry for him; but he has       other feelings, which will probably soon drive away his regard for me. You       do not blame me, however, for refusing him?""",B-OTHER,Chapter 40
988,"""I am heartily sorry for him; but he has       other feelings, which will probably soon drive away his regard for me. You       do not blame me, however, for refusing him?""","""Blame you! Oh, no.""",I-OTHER,Chapter 40
989,"""Blame you! Oh, no.""","""But you blame me for having spoken so warmly of Wickham?""",B-OTHER,Chapter 40
990,"""But you blame me for having spoken so warmly of Wickham?""","""No—I do not know that you were wrong in saying what you did.""",B-OTHER,Chapter 40
991,"""No—I do not know that you were wrong in saying what you did.""","""But you will know it, when I tell you what happened the very next       day.""",B-OTHER,Chapter 40
992,"""But you will know it, when I tell you what happened the very next       day.""","""This will not do,""",B-OTHER,Chapter 40
993,"""This will not do,""","""you never will be able to make both       of them good for anything. Take your choice, but you must be satisfied       with only one. There is but such a quantity of merit between them; just       enough to make one good sort of man; and of late it has been shifting       about pretty much. For my part, I am inclined to believe it all Darcy's;       but you shall do as you choose.""",B-OTHER,Chapter 40
